template,asset,phase,phase_start,phase_end,candle_count,return_percent,max_drawdown_percent,trade_count,first_iso,last_iso,insufficient_data
kd_momentum,BTC,validate,2024-01-01,2024-12-31,8784,9.0076,3.972,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
kd_momentum,BTC,forward,2025-01-01,2026-05-06,11770,-2.0501,9.698,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
kd_momentum,ETH,train,2020-01-01,2023-12-31,23246,-3.529,10.7756,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
kd_momentum,ETH,validate,2024-01-01,2024-12-31,8784,3.0619,5.2997,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
kd_momentum,ETH,forward,2025-01-01,2026-05-06,11770,-2.7848,8.5053,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
kd_momentum,XRP,train,2020-01-01,2023-12-31,23246,-6.169,8.5249,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
kd_momentum,XRP,validate,2024-01-01,2024-12-31,8784,9.731,5.3001,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
kd_momentum,XRP,forward,2025-01-01,2026-05-06,11770,-4.0511,13.7476,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
kd_momentum,BNB,train,2020-01-01,2023-12-31,23246,-5.087,7.7594,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
kd_momentum,BNB,validate,2024-01-01,2024-12-31,8784,6.4368,4.7729,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
kd_momentum,BNB,forward,2025-01-01,2026-05-06,11770,-1.02,11.2354,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
kd_momentum,PAXG,train,2020-01-01,2023-12-31,23246,0.898,2.4341,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
kd_momentum,PAXG,validate,2024-01-01,2024-12-31,8784,3.2047,2.9984,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
kd_momentum,PAXG,forward,2025-01-01,2026-05-06,11770,10.591,6.1477,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
ma200_trend_entry,BTC,train,2020-01-01,2023-12-31,23246,0.968,18.0393,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
ma200_trend_entry,BTC,validate,2024-01-01,2024-12-31,8784,19.0982,7.9602,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
ma200_trend_entry,BTC,forward,2025-01-01,2026-05-06,11770,-3.9719,17.9747,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
ma200_trend_entry,ETH,train,2020-01-01,2023-12-31,23246,-6.27,14.5669,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
ma200_trend_entry,ETH,validate,2024-01-01,2024-12-31,8784,4.2513,7.2203,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
ma200_trend_entry,ETH,forward,2025-01-01,2026-05-06,11770,-3.8204,11.4881,0,2025-01-01T00:00:00+00:00,2026-05-06T09:00:00+00:00,False
ma200_trend_entry,XRP,train,2020-01-01,2023-12-31,23246,-8.81,13.5873,1,2021-05-07T03:00:00+00:00,2023-12-31T23:00:00+00:00,False
ma200_trend_entry,XRP,validate,2024-01-01,2024-12-31,8784,16.1783,8.1176,0,2024-01-01T00:00:00+00:00,2024-12-31T23:00:00+00:00,False
