template,asset,regime,regime_label,regime_start,regime_end,candle_count,return_percent,max_drawdown_percent,trade_count,first_iso,last_iso,insufficient_data
kd_momentum,ETH,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-9.6684,10.7756,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
kd_momentum,ETH,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,1.4477,1.7379,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
kd_momentum,ETH,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,2.1107,3.2284,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
kd_momentum,ETH,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,1.8841,0.7472,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
kd_momentum,XRP,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,-2.178,7.1313,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
kd_momentum,XRP,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-5.7458,6.5553,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
kd_momentum,XRP,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,1.191,2.4431,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
kd_momentum,XRP,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,-0.7662,1.9912,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
kd_momentum,XRP,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.703,0.9555,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
kd_momentum,BNB,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,0.006,7.1928,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
kd_momentum,BNB,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-6.0401,7.402,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
kd_momentum,BNB,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,-0.522,2.3903,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
kd_momentum,BNB,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,4.3811,1.9716,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
kd_momentum,BNB,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,1.5862,0.7188,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
kd_momentum,PAXG,btc_bull_2020_2021,BTC bull (covid bottom → ATH),2020-04-01,2021-11-09,4479,-0.156,1.6285,1,2021-05-07T03:00:00+00:00,2021-11-09T23:00:00+00:00,False
kd_momentum,PAXG,btc_bear_2022,BTC bear (ATH → 16k),2021-11-10,2022-12-31,10008,-0.0531,2.4341,0,2021-11-10T00:00:00+00:00,2022-12-31T23:00:00+00:00,False
kd_momentum,PAXG,btc_range_2023,BTC range (16k–30k consolidation),2023-01-01,2023-09-30,6551,0.2475,0.9998,0,2023-01-01T00:00:00+00:00,2023-09-30T23:00:00+00:00,False
kd_momentum,PAXG,btc_high_vol_2024,BTC high-vol (ETF approval shock),2024-01-01,2024-04-30,2904,1.4428,2.9367,0,2024-01-01T00:00:00+00:00,2024-04-30T23:00:00+00:00,False
kd_momentum,PAXG,btc_low_vol_2023h2,BTC low-vol (slow climb),2023-09-01,2023-12-31,2928,0.5842,0.7064,0,2023-09-01T00:00:00+00:00,2023-12-31T23:00:00+00:00,False
